extra_channel,epochs,fc2,epoch_reducers,fold,arch_hash,net_hash,ae_hash,batch_size,window,l1,l2,dropout,batch_normalization,lr,variational_mode,dec_blocks,dec_activation,eta,block_size,nblocks,msblocks,conv_activation,kernel_size,filters,dilation_rate,dense_activation,fc1,f1,f2,f3,pretrain,freeze,ae_loss,ae_rec_loss,ae_kl_loss,net_score,net_mae,net_mse,net_NASA_score,status,ae_time,net_time,kernels,attention,bidirectional,cell_type,lstm_units,net_name,experiment,input_shape,num_embeddings,channels
True,100,185.0,,0,00283296d815a3c139a829e92a5086a3969f13ee,7d30009e9445d4aa58b38625872631b887fd20f4,,55.0,100.0,0.000278030408406,0.000810920560979,0.812905892368331,False,3.5533348436e-05,True,4.0,relu,0.5,3.0,2.0,4.0,relu,"(3, 3)",32.0,3.0,relu,171.0,5.0,10.0,15.0,True,False,,,,0.1291470825672149,0.2038284540176391,0.0986412540078163,0.0181564800441265,FINISHED,,1301.4341678619385,,,,,,cnn,rnn_cnn_rna,,,1.5392840860021986
True,100,230.0,,2,b67e15e97d7bc7c382b38113fb46636dc4f3164b,c196ae302b79d81d9918a14a27b89e79cc9720fe,,61.0,100.0,0.000305428379084,0.000807039847801,0.214817172073768,True,0.000423662779334,True,4.0,relu,0.5,3.0,3.0,4.0,relu,"(3, 3)",32.0,9.0,relu,78.0,5.0,10.0,15.0,True,False,,,,0.0952652022242546,0.1443798094987869,0.047331117093563,0.0129342395812273,FINISHED,,1584.6621301174164,,,,,,cnn,rnn_cnn_rna,,,2.4373349153137687
True,100,185.0,,1,00283296d815a3c139a829e92a5086a3969f13ee,a77c07543e87c8ac73dee11e60a387d9a0d40641,,55.0,100.0,0.000278030408406,0.000810920560979,0.812905892368331,False,3.5533348436e-05,True,4.0,relu,0.5,3.0,2.0,4.0,relu,"(3, 3)",32.0,3.0,relu,171.0,5.0,10.0,15.0,True,False,,,,0.1035502851009368,0.1626424491405487,0.0939717888832092,0.0152650391682982,FINISHED,,1599.2285771369934,,,,,,cnn,rnn_cnn_rna,,,1.5392840860021986
True,100,230.0,,3,b67e15e97d7bc7c382b38113fb46636dc4f3164b,98364740c0ed7248dfe7ef4effcb765571f34037,,61.0,100.0,0.000305428379084,0.000807039847801,0.214817172073768,True,0.000423662779334,True,4.0,relu,0.5,3.0,3.0,4.0,relu,"(3, 3)",32.0,9.0,relu,78.0,5.0,10.0,15.0,True,False,,,,0.1169012635946273,0.1713791340589523,0.094894915819168,0.0148329101502895,FINISHED,,918.79709649086,,,,,,cnn,rnn_cnn_rna,,,2.4373349153137687
True,100,185.0,,2,00283296d815a3c139a829e92a5086a3969f13ee,1356699de2885a287bfd0f9e6d4950fb4f2189ee,,55.0,100.0,0.000278030408406,0.000810920560979,0.812905892368331,False,3.5533348436e-05,True,4.0,relu,0.5,3.0,2.0,4.0,relu,"(3, 3)",32.0,3.0,relu,171.0,5.0,10.0,15.0,True,False,,,,0.100142166018486,0.154586836695671,0.1284755319356918,0.0135781439021229,FINISHED,,1539.6102788448334,,,,,,cnn,rnn_cnn_rna,,,1.5392840860021986
True,100,230.0,,4,b67e15e97d7bc7c382b38113fb46636dc4f3164b,1f336839a3038b536ffb188ca1990b4b1f06e54e,,61.0,100.0,0.000305428379084,0.000807039847801,0.214817172073768,True,0.000423662779334,True,4.0,relu,0.5,3.0,3.0,4.0,relu,"(3, 3)",32.0,9.0,relu,78.0,5.0,10.0,15.0,True,False,,,,0.092214286327362,0.1388080567121505,0.045339785516262,0.0131399547681212,FINISHED,,1650.571007013321,,,,,,cnn,rnn_cnn_rna,,,2.4373349153137687
True,100,184.0,,0,e95e6cd92829e318faf92f0354f7aa2849f7900b,94b8a1d7179a9c8939ba97919594325ecbedff08,,55.0,100.0,0.000914768721623,0.000406994987456,0.552281033828833,False,0.000469930140257,True,4.0,relu,0.5,2.0,3.0,4.0,relu,"(3, 3)",32.0,3.0,relu,168.0,5.0,10.0,15.0,True,False,,,,0.1476655304431915,0.2349701970815658,0.0938000753521919,0.0205012001097202,FINISHED,,515.8019070625305,,,,,,cnn,rnn_cnn_rna,,,2.967369839557654
True,100,185.0,,3,00283296d815a3c139a829e92a5086a3969f13ee,906354d35715993d4631e3b710af71c0d2a894b6,,55.0,100.0,0.000278030408406,0.000810920560979,0.812905892368331,False,3.5533348436e-05,True,4.0,relu,0.5,3.0,2.0,4.0,relu,"(3, 3)",32.0,3.0,relu,171.0,5.0,10.0,15.0,True,False,,,,0.1097436174750328,0.1676910817623138,0.0836817845702171,0.0146063361316919,FINISHED,,1773.2269322872162,,,,,,cnn,rnn_cnn_rna,,,1.5392840860021986
True,100,184.0,,1,e95e6cd92829e318faf92f0354f7aa2849f7900b,5b2fffbd41297c346e9b27bf8507c46b8a36ead3,,55.0,100.0,0.000914768721623,0.000406994987456,0.552281033828833,False,0.000469930140257,True,4.0,relu,0.5,2.0,3.0,4.0,relu,"(3, 3)",32.0,3.0,relu,168.0,5.0,10.0,15.0,True,False,,,,0.123853325843811,0.1975016444921493,0.0868160724639892,0.018842851743102,FINISHED,,660.1468133926392,,,,,,cnn,rnn_cnn_rna,,,2.967369839557654
True,100,184.0,,2,e95e6cd92829e318faf92f0354f7aa2849f7900b,ee4e9e0486e50e37cb84febc2df9cf2a5e69c651,,55.0,100.0,0.000914768721623,0.000406994987456,0.552281033828833,False,0.000469930140257,True,4.0,relu,0.5,2.0,3.0,4.0,relu,"(3, 3)",32.0,3.0,relu,168.0,5.0,10.0,15.0,True,False,,,,0.1389276981353759,0.2194706946611404,0.066662460565567,0.0196680407971143,FINISHED,,1827.872855901718,,,,,,cnn,rnn_cnn_rna,,,2.967369839557654
True,100,184.0,,3,e95e6cd92829e318faf92f0354f7aa2849f7900b,189c92d1e97bdee248347b7150000dd87418fdfb,,55.0,100.0,0.000914768721623,0.000406994987456,0.552281033828833,False,0.000469930140257,True,4.0,relu,0.5,2.0,3.0,4.0,relu,"(3, 3)",32.0,3.0,relu,168.0,5.0,10.0,15.0,True,False,,,,0.1405725181102752,0.2217349112033844,0.2317036390304565,0.0197673011571168,FINISHED,,469.38929986953735,,,,,,cnn,rnn_cnn_rna,,,2.967369839557654
True,100,185.0,,4,00283296d815a3c139a829e92a5086a3969f13ee,dd8b6c214f6a32d8b363786cdb0d8fc4aebf1066,,55.0,100.0,0.000278030408406,0.000810920560979,0.812905892368331,False,3.5533348436e-05,True,4.0,relu,0.5,3.0,2.0,4.0,relu,"(3, 3)",32.0,3.0,relu,171.0,5.0,10.0,15.0,True,False,,,,0.1011826917529106,0.1573434323072433,0.0543189980089664,0.0144850276410579,FINISHED,,2957.5644750595093,,,,,,cnn,rnn_cnn_rna,,,1.5392840860021986
True,100,184.0,,4,e95e6cd92829e318faf92f0354f7aa2849f7900b,96703102743ff22641d854e3510f239a9ace930f,,55.0,100.0,0.000914768721623,0.000406994987456,0.552281033828833,False,0.000469930140257,True,4.0,relu,0.5,2.0,3.0,4.0,relu,"(3, 3)",32.0,3.0,relu,168.0,5.0,10.0,15.0,True,False,,,,0.1385919600725174,0.2189858108758926,0.2309596538543701,0.0197779834270477,FINISHED,,472.8196456432343,,,,,,cnn,rnn_cnn_rna,,,2.967369839557654
True,100,186.0,,0,46115833d0481cd0504953decda9cf57986ab8fd,ae558416eff63c91b2288d10cf910f1621131084,,61.0,100.0,0.000133545075457,0.000983558584893,0.892298617710646,True,0.000794900050731,True,4.0,relu,0.5,3.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,relu,166.0,5.0,10.0,15.0,True,False,,,,0.1483621597290039,0.236723706126213,0.3644139468669891,0.0207239650189876,FINISHED,,345.6387975215912,,,,,,cnn,rnn_cnn_rna,,,1.9747378053130724
True,100,184.0,,0,f801353fa747d6b7359ec8e85cbbf23a5261ba32,de08f49286337dc259770f13bf8dac13fd45ffe3,,54.0,100.0,0.000381085920968,0.000133056233895,0.778464751109268,True,1.6364474149e-05,True,4.0,relu,0.5,3.0,2.0,4.0,relu,"(3, 3)",32.0,6.0,relu,170.0,5.0,10.0,15.0,True,False,,,,0.1459209769964218,0.2328560203313827,0.5849726796150208,0.0204994156956672,FINISHED,,894.820955991745,,,,,,cnn,rnn_cnn_rna,,,2.8802242118022283
True,100,186.0,,1,46115833d0481cd0504953decda9cf57986ab8fd,b62a69c73e442ca5ef9cf69d7c7f24889cde6909,,61.0,100.0,0.000133545075457,0.000983558584893,0.892298617710646,True,0.000794900050731,True,4.0,relu,0.5,3.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,relu,166.0,5.0,10.0,15.0,True,False,,,,0.1084591895341873,0.1729352325201034,0.0519343689084053,0.0160044152289628,FINISHED,,1168.7338354587555,,,,,,cnn,rnn_cnn_rna,,,1.9747378053130724
True,100,186.0,,2,46115833d0481cd0504953decda9cf57986ab8fd,01f29558eead26d04b3aec80101d79628060aad8,,61.0,100.0,0.000133545075457,0.000983558584893,0.892298617710646,True,0.000794900050731,True,4.0,relu,0.5,3.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,relu,166.0,5.0,10.0,15.0,True,False,,,,0.103013589978218,0.1528886556625366,0.0510242246091365,0.0132573572918772,FINISHED,,1277.309422969818,,,,,,cnn,rnn_cnn_rna,,,1.9747378053130724
True,100,186.0,,3,46115833d0481cd0504953decda9cf57986ab8fd,871ec78b3d5c4b14e0d21c69eb194da1596b4a05,,61.0,100.0,0.000133545075457,0.000983558584893,0.892298617710646,True,0.000794900050731,True,4.0,relu,0.5,3.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,relu,166.0,5.0,10.0,15.0,True,False,,,,0.1129064410924911,0.1701338440179824,0.0735556334257125,0.0144564304500818,FINISHED,,690.0614128112793,,,,,,cnn,rnn_cnn_rna,,,1.9747378053130724
True,100,190.0,,0,eb1ad8d933ba3b73d796fced2db4014d0d0b8113,ab094c9607efe1f29720c91b3e08ded1c4df70d4,,57.0,100.0,5.2922167508e-05,0.000140232872309,0.230839138013241,False,0.000890649456809,True,4.0,relu,0.5,3.0,2.0,4.0,LeakyReLU,"(3, 3)",32.0,1.0,relu,171.0,5.0,10.0,15.0,True,False,,,,0.1297245919704437,0.1852409243583679,0.1201651915907859,0.0158696826547384,FINISHED,,442.6412420272827,,,,,,cnn,rnn_cnn_rna,,,3.243049045085148
True,100,190.0,,1,eb1ad8d933ba3b73d796fced2db4014d0d0b8113,8290abd356f2090f234c0c7e40b9bf128d900de7,,57.0,100.0,5.2922167508e-05,0.000140232872309,0.230839138013241,False,0.000890649456809,True,4.0,relu,0.5,3.0,2.0,4.0,LeakyReLU,"(3, 3)",32.0,1.0,relu,171.0,5.0,10.0,15.0,True,False,,,,0.3355936408042907,0.5571554899215698,0.37682044506073,0.0576453916728496,FINISHED,,535.7768471240997,,,,,,cnn,rnn_cnn_rna,,,3.243049045085148
True,100,183.0,,0,640821c774434d689748958cb6bd09a890f8679d,379648afec6af3436e74f924ddca851fa4dd4c4b,,57.0,100.0,0.000660739594414,0.000281136118828,0.578160445626028,False,0.000471196334495,True,4.0,relu,0.5,3.0,2.0,4.0,tanh,"(3, 3)",32.0,2.0,tanh,171.0,5.0,10.0,15.0,True,False,,,,0.1305552572011947,0.1878280192613601,0.1016174629330635,0.0155835729092359,FINISHED,,801.565348148346,,,,,,cnn,rnn_cnn_rna,,,3.2527001395363384
True,100,183.0,,1,640821c774434d689748958cb6bd09a890f8679d,75014ec86b40716f33ee40ae09a9ced0021b1675,,57.0,100.0,0.000660739594414,0.000281136118828,0.578160445626028,False,0.000471196334495,True,4.0,relu,0.5,3.0,2.0,4.0,tanh,"(3, 3)",32.0,2.0,tanh,171.0,5.0,10.0,15.0,True,False,,,,0.0906913727521896,0.1421740055084228,0.070312812924385,0.0133032472804188,FINISHED,,658.5374653339386,,,,,,cnn,rnn_cnn_rna,,,3.2527001395363384
True,100,183.0,,2,640821c774434d689748958cb6bd09a890f8679d,9ced2201893b31e5e2f444354cb439edc704ff41,,57.0,100.0,0.000660739594414,0.000281136118828,0.578160445626028,False,0.000471196334495,True,4.0,relu,0.5,3.0,2.0,4.0,tanh,"(3, 3)",32.0,2.0,tanh,171.0,5.0,10.0,15.0,True,False,,,,0.3328198194503784,0.5511186718940735,0.3730518519878387,0.0570106208324432,FINISHED,,852.4636068344116,,,,,,cnn,rnn_cnn_rna,,,3.2527001395363384
True,100,184.0,,0,ad008dfc6901467d43e3f5e0f0c9a580fcdd51b5,e0edbaa3bfc119a19b88e2a9c95148ee077916da,,56.0,100.0,0.000945639810731,0.000225194491732,0.521245181718132,True,0.000632078151475,True,4.0,relu,0.5,2.0,3.0,4.0,relu,"(3, 3)",32.0,10.0,tanh,169.0,5.0,10.0,15.0,True,False,,,,0.3214779198169708,0.5229527950286865,0.346785694360733,0.0540728755295276,FINISHED,,1290.4578471183777,,,,,,cnn,rnn_cnn_rna,,,2.9103102685453286
True,100,187.0,,0,d36b2dd168339c0cc3c15b332d9cb8955ee06471,09666fd20b468c36c15e02cf582f3e300401a625,,50.0,100.0,0.0,0.001,0.9,True,1e-05,True,4.0,relu,0.5,2.0,3.0,4.0,tanh,"(3, 3)",32.0,5.0,relu,169.0,5.0,10.0,15.0,True,False,,,,0.3243704438209533,0.5282709002494812,1.7137826681137085,0.0546366572380065,FINISHED,,709.571038722992,,,,,,cnn,rnn_cnn_rna,,,1.51
