extra_channel,epochs,fc2,epoch_reducers,fold,arch_hash,net_hash,ae_hash,batch_size,window,l1,l2,dropout,batch_normalization,lr,variational_mode,dec_blocks,dec_activation,eta,block_size,nblocks,msblocks,conv_activation,kernel_size,filters,dilation_rate,dense_activation,fc1,f1,f2,f3,pretrain,freeze,ae_loss,ae_rec_loss,ae_kl_loss,net_score,net_mae,net_mse,net_NASA_score,status,ae_time,net_time,kernels,attention,bidirectional,cell_type,lstm_units,net_name,experiment,input_shape,num_embeddings
False,100,65.0,,1,98582ef6ea541c73e3b53e172d18e8deb12b268c,d786ee04c80b829f7a28dd38d136607017b6ce1d,,37.0,146.0,0.000815461428455,0.000706857343848,0.695020292366992,True,0.000731717096361,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,tanh,102.0,5.0,10.0,15.0,True,False,,,,0.0920710414648056,0.1386129856109619,0.0399850979447364,0.0125808920711278,FINISHED,,9123.191866636276,,0.0518690193747615,1.094393961508079,-0.3608987126404583,102.38227882882592,rnn,rnn_rnn_rna,,171.6931457088545
False,100,65.0,,2,98582ef6ea541c73e3b53e172d18e8deb12b268c,b5628a6d503d5bf76e23bf219b0dddff8d5a0428,,37.0,146.0,0.000815461428455,0.000706857343848,0.695020292366992,True,0.000731717096361,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,tanh,102.0,5.0,10.0,15.0,True,False,,,,0.1089211404323577,0.1577930897474289,0.0783499330282211,0.0132121564820408,FINISHED,,5286.357992649078,,0.0518690193747615,1.094393961508079,-0.3608987126404583,102.38227882882592,rnn,rnn_rnn_rna,,171.6931457088545
False,100,238.0,,1,d1855fc57459d803ce8e597a2eff05c1e1436c83,8bb8226429b75f3ebad16f11c33993c9104ec51f,,33.0,164.0,0.000249292229149,0.000410382923036,0.282920382968694,False,0.000757995627158,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,LeakyReLU,162.0,5.0,10.0,15.0,True,False,,,,0.0964574664831161,0.1426814645528793,0.0375019535422325,0.0129592129960656,FINISHED,,3131.471080303192,,0.5354656587639881,-0.2942171460133911,-0.4471416286265315,41.62539453506172,rnn,rnn_rnn_rna,,157.9502905827536
False,100,238.0,,2,d1855fc57459d803ce8e597a2eff05c1e1436c83,b84af7848821a0a5cbf09deb469673bd46667622,,33.0,164.0,0.000249292229149,0.000410382923036,0.282920382968694,False,0.000757995627158,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,LeakyReLU,162.0,5.0,10.0,15.0,True,False,,,,0.1020736247301101,0.1487083882093429,0.0423154942691326,0.0126637360081076,FINISHED,,2403.9722809791565,,0.5354656587639881,-0.2942171460133911,-0.4471416286265315,41.62539453506172,rnn,rnn_rnn_rna,,157.9502905827536
False,100,65.0,,3,98582ef6ea541c73e3b53e172d18e8deb12b268c,d1abba7a0d868a247d03e7103a101b3023980bc4,,37.0,146.0,0.000815461428455,0.000706857343848,0.695020292366992,True,0.000731717096361,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,tanh,102.0,5.0,10.0,15.0,True,False,,,,0.1225242391228675,0.1782314479351043,0.065891683101654,0.0152150960639119,FINISHED,,5359.254427433014,,0.0518690193747615,1.094393961508079,-0.3608987126404583,102.38227882882592,rnn,rnn_rnn_rna,,171.6931457088545
False,100,238.0,,3,d1855fc57459d803ce8e597a2eff05c1e1436c83,5d63f2e4c9cce9d42b5d2fcc2b62d94471b809e6,,33.0,164.0,0.000249292229149,0.000410382923036,0.282920382968694,False,0.000757995627158,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,LeakyReLU,162.0,5.0,10.0,15.0,True,False,,,,0.1285483092069625,0.1850295811891555,0.0639453008770942,0.0157108139246702,FINISHED,,1982.4839141368864,,0.5354656587639881,-0.2942171460133911,-0.4471416286265315,41.62539453506172,rnn,rnn_rnn_rna,,157.9502905827536
False,100,238.0,,4,d1855fc57459d803ce8e597a2eff05c1e1436c83,a593cde7b5d603c39002812970535314e25f3cb3,,33.0,164.0,0.000249292229149,0.000410382923036,0.282920382968694,False,0.000757995627158,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,LeakyReLU,162.0,5.0,10.0,15.0,True,False,,,,0.1139649301767349,0.1655197292566299,0.0502357706427574,0.0157463774085044,FINISHED,,1985.089241743088,,0.5354656587639881,-0.2942171460133911,-0.4471416286265315,41.62539453506172,rnn,rnn_rnn_rna,,157.9502905827536
False,100,65.0,,4,98582ef6ea541c73e3b53e172d18e8deb12b268c,cf99e889631e574113cf3cae0ec43b6a82290ea0,,37.0,146.0,0.000815461428455,0.000706857343848,0.695020292366992,True,0.000731717096361,True,4.0,relu,0.5,4.0,2.0,4.0,relu,"(3, 3)",32.0,1.0,tanh,102.0,5.0,10.0,15.0,True,False,,,,0.1047224700450897,0.1572299301624298,0.0759128108620643,0.0151002770289778,FINISHED,,5350.978679656982,,0.0518690193747615,1.094393961508079,-0.3608987126404583,102.38227882882592,rnn,rnn_rnn_rna,,171.6931457088545
False,100,92.0,,1,c35819e4ff52dcf8008bf46130c1854b5f581563,b1f241c4d74e061a31347bb072f71f75036c7baf,,52.0,391.0,0.000489452760278,0.000985650454111,0.817439297369988,False,0.000249634718796,True,4.0,relu,0.5,4.0,4.0,4.0,relu,"(3, 3)",32.0,1.0,relu,110.0,5.0,10.0,15.0,True,False,,,,0.1043318808078765,0.1584577113389969,0.0555364042520523,0.0144005445763468,FINISHED,,6228.727331876755,,0.0596809887549352,0.4953580464577229,-0.4070424975000213,91.2791813094584,rnn,rnn_rnn_rna,,147.52750879847994
False,100,92.0,,2,c35819e4ff52dcf8008bf46130c1854b5f581563,354399f63b7a108931157ab050b9fdb10e9dd6a8,,52.0,391.0,0.000489452760278,0.000985650454111,0.817439297369988,False,0.000249634718796,True,4.0,relu,0.5,4.0,4.0,4.0,relu,"(3, 3)",32.0,1.0,relu,110.0,5.0,10.0,15.0,True,False,,,,0.1000472903251648,0.1493979394435882,0.0459751524031162,0.0128948576748371,FINISHED,,7896.268611431122,,0.0596809887549352,0.4953580464577229,-0.4070424975000213,91.2791813094584,rnn,rnn_rnn_rna,,147.52750879847994
