score,mean_epochs,std_score,nasa_score,mae,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name
0.1501300185918808,13.0,0.0,0.020895035937428474,0.2394147366285324,1699775442,False,1,437ce40d,2023-11-12_08-50-42,1584.2738811969757,1584.2738811969757,32705,gpu22,150.214.140.128,1584.2738811969757,1,
0.14535990357398987,14.5,0.00477011501789093,0.02048706915229559,0.2308650091290474,1699777380,False,2,437ce40d,2023-11-12_09-23-00,1937.6491451263428,3521.9230263233185,32705,gpu22,150.214.140.128,3521.9230263233185,2,
0.14452515542507172,16.333333333333332,0.0040697592639921945,0.020396404589215916,0.22924407323201498,1699779795,False,3,437ce40d,2023-11-12_10-03-15,2415.411301612854,5937.3343279361725,32705,gpu22,150.214.140.128,5937.3343279361725,3,
0.1442224457859993,16.25,0.0035632996964751334,0.020362903364002705,0.22850549593567848,1699781732,False,4,437ce40d,2023-11-12_10-35-32,1937.0201199054718,7874.354447841644,32705,gpu22,150.214.140.128,7874.354447841644,4,
0.14354419112205505,16.2,0.0034637842510999873,0.02030504457652569,0.22729424238204957,1699783671,False,5,437ce40d,2023-11-12_11-07-51,1939.0487744808197,9813.403222322464,32705,gpu22,150.214.140.128,9813.403222322464,5,
0.14354419112205505,16.2,0.0034637842510999873,0.02030504457652569,0.22729424238204957,1699783671,False,6,437ce40d,2023-11-12_11-07-51,0.0004849433898925781,9813.403707265854,32705,gpu22,150.214.140.128,9813.403707265854,6,
